Murray 2,-36.242343999999946 148.13624700000003
Musselroe,-40.779757995999944 148.00975916900006
Narrogin Bioenergy Plant,-32.95211794599993 117.19158099000003
Neerabup,-31.67124999999993 115.8021490000001
Newington Solar Suburb,-33.841292099999976 151.05381612800011
Newman Iron Ore Mine,-23.344274999999982 119.70858700000008
Newport,-37.841461999999979 144.89419700000008
Nieterana,-42.268586999999968 146.2628830000001
Nine Network,-33.810964126999977 151.1966227370001
Noranda,-31.865389401999948 115.87732708800002
Norseman Mine,-32.196264804999942 121.79433384300012
North Sydney,-33.838381560999949 151.20539424000003
North Sydney,-33.839811886999939 151.20692819700002
Northern,-32.543253999999934 137.78820400000006
Nullagine Diesel Backup,-21.879444145999969 120.11286245700001
Nullagine Solar Farm,-21.87950110099996 120.11172335900005
Nymboida,-29.925737999999967 152.74170800000002
Nyngan Solar Plant,-31.552740360999962 147.08535195000002
Oakey,-27.418361999999945 151.67976700000008
Oakland Hills Wind Farm,-37.663800999999978 142.54805600000009
Oaky Creek,-22.98777599999994 148.58170200000006
Oaky,-30.575118999999972 152.06897000000004
Onslow,-21.658221551999929 115.09902478800007
Ord River,-16.120131999999955 128.73832500000003
Osborne,-34.798020999999949 138.5078840000001
Owen Springs,-23.863610999999935 133.82548700000007
Paloona,-41.282615999999962 146.24896400000011
Paraburdoo (Standby),-23.221953285999973 117.61503073100005
Paraburdoo,-23.223478996999972 117.61348122600009
Pedler Creek,-35.202320999999984 138.50209400000006
Pelican Point,-34.764971999999943 138.50532500000008
Perth Zoo,-31.976662782999938 115.85478006900007
Pindari,-29.388625999999931 151.24420200000009
Pine Creek,-13.785609999999963 131.86236200000008
Pinjar,-31.557681354999943 115.82041110400007
Pinjarra Bauxite Mine and Alumina Refinery,-32.647302999999965 115.94689400000004
Pioneer Sugar Mill,-19.557464999999979 147.33080100000006
Plane Creek Sugar Mill,-21.428222999999946 149.21591200000012
Playford,-32.539278999999965 137.78188000000011
Plutonic Gold Mine,-25.311001999999974 119.45075700000007
Poatina,-41.811572999999953 146.91903800000011
Port Hedland,-20.378178960999946 118.53837434500008
Port Hedland,-20.428299999999979 118.54980000000012
Port Lincoln,-34.700189999999964 135.80472800000007
Port Stanvac,-35.110395343999983 138.49145908000003
Proserpine Sugar Mill,-20.398544758999947 148.57971634900002
Quarantine,-34.779283999999961 138.52235200000007
Queen Victoria Market Solar Array,-37.806943973999978 144.95694377700011
Ravensthorpe,-33.609999999999957 120.36000000000001
Red Hill,-31.831650582999941 116.09923967700001
Redbank,-32.580205999999976 151.07193600000005
Reece,-41.723769999999945 145.1359480000001
Remount,-41.395048999999972 147.15542500000004
Repulse,-42.507694999999956 146.64696000000004
Revesby Workers Club,-33.953439751999952 151.01373321400001
Rochedale,-27.559116999999958 153.12363400000004
Rockingham,-32.286322512999959 115.81538889600006
Rocky Point Sugar Sugar Mill,-27.733448999999951 153.32760700000006
Roghan Road,-27.338767999999959 153.03435000000002
Roma,-26.577200999999945 148.8401990000001
Ron Goodin,-23.709108999999955 133.89117500000009
Rottnest Island Wind Turbine,-31.993751991999943 115.52891392800007
Rowallan,-41.729522999999972 146.21759300000008
Royston,-37.373920675999955 145.86452681800006
Rubicon Falls,-37.340086624999969 145.8476787080001
Rubicon,-37.327219999999954 145.86052000000007
Sandstone,-27.985269348999964 119.29495929900008
Savannah Nickel Mine,-17.363095358999942 128.03307638000001
Shenton Park WMRC Project,-31.957666655999958 115.79244349800001
Shepparton Biogas Generation Plant,-36.321774999999946 145.37898300000006
Singleton Solar Farm,-32.592384506999963 151.18120867400012
Smithfield Energy,-33.850039999999979 150.94946600000003
Snowtown Wind Farm Stage 1,-33.721519999999941 138.14708800000005
Snowtown Wind Farm Stage 2,-33.830082042999948 138.11841139700005
Snowtown,-33.713866999999937 138.14036700000008
Snuggery,-37.66455099999996 140.41555800000003
Solomon Iron Ore Mine,-22.158138793999967 117.98486380600002
Somerton,-37.631821999999943 144.95307700000012
South Cardup (Shale Road Landfill),-32.266436158999966 116.01931443900003
South East Water Hallam Plant,-38.023178112999972 145.2781215440001
South Johnstone,-17.605685131999962 145.99100041600002
Springvale,-37.973296999999945 145.13963500000011
St George Leagues Club,-33.974817382999959 151.1293810090001
Stadium Australia,-33.845178072999943 151.06403926100006
Stanwell,-23.509719999999959 150.31946600000003
Stapylton Green Energy,-27.733448959999976 153.24630257800004
Starfish Hill Wind Farm,-35.567764999999952 138.14323800000011
Studland Bay (Woolnorth) Wind Farm,-40.778753999999935 144.73620400000004
Summerhill,-32.888532999999939 151.64295400000003
Suncoast Gold Macadamia,-26.226124999999968 152.69810200000006
Sunrise Dam,-29.092683435999959 122.43928453500007
Swanbank B,-27.660064999999975 152.81445200000007
Swanbank E,-27.655373999999938 152.81793800000003
Sydney,-33.871547001999943 151.20910002800008
Symex Port Melbourne,-37.829793999999936 144.94436500000006
Tableland,-17.119292186999928 145.34496992100003
Tahmoor,-34.248232999999971 150.58077000000003
Tallawarra,-34.52277799999996 150.80805600000008
Tamala Park,-31.707786128999942 115.72664485300004
Tamar Valley,-41.140124999999955 146.90363600000012
Tarong North,-26.775762999999984 151.91460200000006
Tarong,-26.782357999999931 151.91527300000007
Tarong,-26.785766999999964 151.91716400000007
Tarraleah,-42.301207999999974 146.45715600000005
Tatiara Meats,-36.326556386999982 140.73676935800006
Tatura Biogas Generation Plant,-36.479260999999951 145.23502600000006
Tea Tree Gully,-34.830327067999974 138.71285098500005
Telfer Gold Mine,-21.712910999999963 122.20910300000003
Tennant Creek,-19.654929999999979 134.17528500000003
Teralba,-32.94548999999995 151.61190700000009
Terminal Storage,-34.839322999999979 138.71122600000001
The Drop,-35.604346999999962 145.78372500000012
Ti Tree Bioenergy,-27.680163999999934 152.65929500000004
Tods Corner,-41.970731999999941 146.79378500000007
Tomago Aluminium Smelter,-32.821650999999974 151.7178090000001
Toora Wind Farm,-38.645059999999944 146.34413200000006
Torrens Island A,-34.806843999999955 138.52132200000005
Torrens Island B,-34.805170999999973 138.52262000000007
Tower Mine,-34.220691999999929 150.71794100000011
Townsville RSL Stadium Solar Array,-19.307861025999955 146.8010542510001
Trevallyn,-41.423141999999984 147.11283000000003
Tribute,-41.811804999999936 145.65356700000007
Tulla Calder Interchange Solar Array,-37.735278742999981 144.89481682600001
Tully Sugar Mill,-17.937317647999976 145.92665248700007
Tumut 1 (Upper Tumut),-35.951728999999943 148.36371000000008
Tumut 2 (Upper Tumut),-35.881290999999976 148.36725200000012
Tumut 3,-35.611217999999951 148.29168500000003
Tungatinah,-42.296670999999947 146.45654300000001
Umuwa,-26.473555900999941 132.01465681700006
University of New South Wales,-33.916704281999955 151.23535272300012
University of Queensland (St Lucia Campus) Solar Array,-27.494958560999976 153.01013752400002
Upper Lake Margaret,-42.004566999999952 145.54369900000006
Uranquinty,-35.179394999999943 147.2156920000001
Uterne Solar,-23.768517390999932 133.86821016400006
Vales Point B,-33.160744999999963 151.54314600000009
Valley (Peaking Facility),-38.25362199999995 146.58916600000009
Victoria Sugar Mill,-18.650803999999937 146.20162700000003
Visy Paper Gibson Island,-27.440513223999972 153.11579455700007
Wagerup Bauxite Mine and Alumina Refinery,-32.914494999999931 115.91699500000004
Wagerup,-32.916016999999954 115.91864700000008
Walkaway Wind Farm,-28.92285099999998 114.92815850000011
Wallerawang C,-33.402823999999953 150.08334500000012
Warmun,-17.025883502999932 128.21131963900007
Warragamba,-33.883241999999939 150.59654100000012
Warrego,-19.443392999999958 133.82358700000009
Waterloo Wind Farm,-34.000357623999946 138.91531889200007
Wattle Point Wind Farm,-35.121354999999937 137.71661800000004
Waubra Wind Farm,-37.355981499999984 143.6059150000001
Wayatinah,-42.427175999999974 146.53470900000002
Weddell,-12.577195999999958 130.95022600000004
West Angelas Mine,-23.154648546999965 118.72452167400002
West Illawarra Leagues Club,-34.451536999999973 150.84290700000008
West Kalgoorlie,-30.780634999999961 121.42335500000002
West Kiewa (Mount Beauty Hydro Scheme),-36.760065999999938 147.18604800000003
West Nowra (Shoalhaven),-34.881977999999947 150.55148500000007
Western Suburbs Leagues Club (Campbelltown),-34.05132599999996 150.8328600000001
Whitwood Road,-27.659013999999956 152.82374300000004
Wilga Park,-30.363436999999976 149.67715300000009
Wilmot,-41.483311999999955 146.12507300000004
